base_fund,delta_annualised_return,delta_annualised_volatility,delta_sharpe_ratio,delta_max_drawdown,base_sharpe,sentiment_sharpe
Equity Equal Weight,0.0009981632468651913,-0.00028769417365970273,0.007583356540810771,0.0023159843459457097,0.7874891672353196,0.7950725237761304
Equity Min Variance,-0.003888803977541766,0.0001532480088157484,-0.03091935571179122,-0.006765436522023882,0.3860618565510657,0.35514250083927446
Equity Max Sharpe,0.006454622642559915,-3.28906407054963e-05,0.03572436883472091,0.009417494773822699,0.4083296683353282,0.4440540371700491
Equity Risk Parity,0.0006705281535130947,-0.00019848620949838858,0.0055463908761445024,0.00072461379205635,0.6922940901226581,0.6978404809988026
